epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,3159.65,1.06057,0.66263,1.18012,0.9597,0.94816,0.97359,0.70348,0.87632,6.95299,0.99904,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,283.152,1.029,0.63227,1.17028,0.96021,0.94921,0.97226,0.70334,0.8759,6.86932,0.99886,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,468.041,1.03995,0.64185,1.17347,0.96139,0.9493,0.97225,0.70372,0.87549,6.86276,0.99866,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,647.345,1.03786,0.6432,1.17138,0.96165,0.95002,0.97244,0.70374,0.87499,6.78616,0.99793,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,817.032,1.04265,0.6487,1.17179,0.96096,0.94981,0.97246,0.70476,0.87447,6.72844,0.99727,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,997.644,1.03889,0.64288,1.17293,0.96091,0.94911,0.97427,0.70468,0.87416,6.61899,0.99692,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1185.11,1.04084,0.64396,1.17274,0.96164,0.9498,0.9729,0.70523,0.87338,6.50989,0.99618,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1371.13,1.03769,0.64067,1.16914,0.96215,0.95077,0.97302,0.70538,0.87229,6.41762,0.99542,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1572.75,1.03282,0.6362,1.16537,0.96283,0.95019,0.97301,0.70563,0.87171,6.35066,0.99485,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1741.96,1.032,0.63874,1.16614,0.96273,0.95005,0.97311,0.70607,0.87105,6.23967,0.9945,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1910.37,1.02629,0.62968,1.16587,0.96398,0.94936,0.97303,0.70638,0.87007,6.13907,0.9937,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2077.95,1.03062,0.63146,1.1645,0.96369,0.94957,0.97327,0.70688,0.86947,6.02603,0.99309,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2245.75,1.02525,0.62778,1.16391,0.96414,0.95053,0.97351,0.70791,0.86833,5.92466,0.99248,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2414.16,1.0211,0.62136,1.15924,0.96423,0.94979,0.97341,0.70857,0.86772,5.80837,0.99182,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2582.87,1.01927,0.6219,1.15843,0.96491,0.94896,0.9738,0.70858,0.86667,5.68036,0.99119,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2751.48,1.01973,0.61957,1.15822,0.96475,0.95098,0.97383,0.70916,0.86642,5.56493,0.99078,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2919.36,1.0152,0.6162,1.15539,0.96499,0.95106,0.97584,0.7096,0.86563,5.4752,0.99034,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,278.633,0.97944,0.58368,1.14249,0.965,0.95198,0.97422,0.70969,0.865,5.4657,0.98982,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,450.843,0.98806,0.589,1.14192,0.96549,0.9519,0.97434,0.71024,0.86449,5.45433,0.98951,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,620.038,0.98756,0.59124,1.14116,0.96596,0.95193,0.97447,0.71079,0.86358,5.44007,0.98893,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,788.685,0.99172,0.59415,1.14148,0.96573,0.952,0.97453,0.71092,0.86269,5.41888,0.98778,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,956.969,0.98907,0.59122,1.14428,0.96619,0.95162,0.97453,0.71117,0.86178,5.36853,0.98699,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,1129.07,0.98943,0.58908,1.14394,0.96737,0.95141,0.97467,0.71184,0.86082,5.28562,0.98638,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1304.82,0.98651,0.5862,1.14149,0.96585,0.9515,0.97471,0.7122,0.85984,5.22738,0.98565,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,1479.28,0.98124,0.5834,1.13646,0.96573,0.95222,0.97478,0.71218,0.85884,5.16758,0.98504,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,1652.05,0.97912,0.58461,1.13693,0.96658,0.95222,0.97504,0.71294,0.85812,5.07375,0.98448,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,1824.73,0.97415,0.57664,1.13632,0.96642,0.9515,0.97505,0.71326,0.85756,4.99162,0.98402,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,279.065,0.93979,0.54799,1.12137,0.96713,0.95139,0.97523,0.71319,0.857,4.98383,0.98353,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,453.352,0.94743,0.55139,1.12278,0.96758,0.95067,0.97538,0.71355,0.85677,4.98265,0.98329,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,626.578,0.94805,0.55279,1.12181,0.96801,0.95029,0.97557,0.71372,0.85619,4.95444,0.983,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,800.614,0.95256,0.55732,1.12261,0.968,0.95029,0.97535,0.71403,0.8557,4.94519,0.98251,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
